account_id,account_manager,company_type,sub_team_id,geography,industry,sub_industry
A-0148229,beasohe,A,52,central,Food & Beverage,Food - Perishables & Fresh
A-0150214,leaborsk,D,58,central,Retail & Consumer Goods,Furniture & Furnishings
A-0165214,beasohe,A,52,central,Other,Other
A-0172571,beasohe,A,52,central,Other,Other
A-0185543,beasohe,A,52,central,Other,Other
A-0019743,lehae,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0210100,maveitn,C,60,central,Resources (Processed),Metals
A-0210829,beasohe,A,52,central,Other,Other
A-0216286,mahkor,D,49,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0232829,lunig,A,52,central,Other,Other
A-0261500,erter,E,48,central,Logistics,Other Logistics
A-0265571,lunig,A,52,central,Other,Other
A-0291386,juaöck,D,61,central,Resources (Processed),Metals
A-0307314,jaleiho,D,66,central,Other,Other
A-0310286,beasohe,A,52,central,Other,Other
A-0313771,ladt,D,52,central,Chemicals,Chemicals
A-0031857,lunig,A,52,central,Food & Beverage,Beverages - Non alcoholic
A-0328957,beasohe,A,52,central,Other,Other
A-0332643,faaonr,D,61,central,Technology,Electronic devices
A-0033286,beasohe,A,52,central,Other,Other
A-0349029,lunig,A,52,central,Other,Other
A-0035771,beasohe,A,52,central,Other,Other
A-0412500,lunig,A,52,central,Other,Other
A-0427957,lunig,C,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0438571,donmar,D,61,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0443800,lehae,C,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0444643,chsgenle,B,50,north,Industrial & Engineering,Industrial Machinery & Equipment
A-0447071,keedein,D,50,north,Other,Other
A-0448600,mahkaos,D,59,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0451600,keedein,C,50,north,Industrial & Engineering,Industrial Machinery & Equipment
A-0451643,reerlzk,D,56,central,Technology,Electronic devices
A-0453271,donmar,D,61,central,Other,Other
A-0458471,prcavd,A,69,central,Resources (Processed),Metals
A-0461214,lunig,C,52,central,Chemicals,Chemicals
A-0462286,crtcall,D,55,south,Manufacturer - Materials & Chemicals,Wood (Processed)
A-0462671,peruon,C,59,central,Retail & Consumer Goods,Furniture & Furnishings
A-0464129,maibanr,C,60,central,Retail & Consumer Goods,Pet care
A-0472829,anbagba,C,55,south,Other,Other
A-0479871,lunig,C,52,central,Other,Other
A-0483171,maeeglom,C,55,south,Other,Other
A-0484900,ivalieo,C,55,south,Other,Other
A-0493943,nonvanr,C,60,central,Other,Other
A-0053043,lehae,A,52,central,Retail & Consumer Goods,Household supplies
A-0079986,lunig,A,52,central,Other,Other
A-0087729,tarwenr,B,56,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0088443,jange-al,E,48,central,Other,Other
A-0109414,beasohe,A,52,central,Other,Other
A-0110157,lehae,E,52,central,Logistics,Freight Forwarding
A-0125900,lunig,A,52,central,Food & Beverage,Beverages - Non alcoholic
A-0143543,lunig,C,52,central,Apparel,Apparel - General
A-0015414,lehae,E,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0174214,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0020300,lunig,A,52,central,Other,Other
A-0023171,miakre,D,56,central,Construction,Building Materials
A-0274443,edcu,D,64,central,Chemicals,Chemicals
A-0027743,toaarqrd,C,60,central,Retail & Consumer Goods,Appliances
A-0359486,grorie,D,59,central,Automotive,Automotive - Components & Spare parts
A-0037557,beasohe,A,52,central,Other,Other
A-0038571,beasohe,A,52,central,Other,Other
A-0399129,lunig,C,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0411671,lehae,C,52,central,Other,Others
A-0411986,lunig,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0417571,lehae,A,52,central,Apparel,Textiles
A-0442929,feacoo,A,54,west,Technology,Electronic components
A-0443129,daeirt,D,59,central,Other,Other
A-0452357,lunig,D,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0453314,derall,C,60,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0464886,mahkaos,D,59,central,Resources (Processed),Metals
A-0472043,alsraźn,C,70,east,Healthcare,Medical Devices & Instruments
A-0477214,chsgenle,C,50,north,Other,Other
A-0061257,conhma,E,52,central,Other,Other
A-0063729,maeaßmh,E,52,central,Other,Other
A-0073829,beasohe,A,52,central,Other,Other
A-0078743,beasohe,A,52,central,Apparel,Apparel - General
A-0082171,beasohe,A,52,central,Other,Other
A-0108100,juaöck,D,61,central,Other,Other
A-0112043,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0112057,lunig,A,52,central,Other,Other
A-0116329,lunig,C,52,central,Retail & Consumer Goods,Entertainment & Leisure
A-0120800,lunig,E,52,central,Other,Other
A-0121671,mamange,B,56,central,Food & Beverage,Food - Perishables & Fresh
A-0155857,faarocte,D,52,central,Healthcare,Medical Devices & Instruments
A-0015814,maeaßmh,A,52,central,Resources (Processed),Metals
A-0162829,lunig,C,52,central,Industrial & Engineering,Parts & Lubricants
A-0163029,beasohe,A,52,central,Other,Other
A-0174571,lunig,A,52,central,Other,Other
A-0223971,beasohe,A,52,central,Other,Other
A-0234657,beasohe,A,52,central,Other,Other
A-0235286,lunig,D,52,central,Other,Other
A-0249886,beasohe,A,52,central,Automotive,"Motorcycles, Scooters & Bicycles"
A-0260386,maeaßmh,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0268643,lehae,A,59,central,Other,Other
A-0277300,beasohe,A,52,central,Other,Textile & Fashion Apparel
A-0277314,lehae,A,70,east,Apparel,Apparel - General
A-0311057,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0315243,lunig,A,52,central,Other,Other
A-0342957,jonbuho,B,61,central,Other,Other
A-0035686,beasohe,A,52,central,Apparel,Apparel - General
A-0390443,mahkaos,D,59,central,Technology,Electronic devices
A-0040243,lunig,C,52,central,Construction,Building Materials
A-0413100,lehae,A,52,central,Other,Others
A-0415043,lunig,C,52,central,Other,Other
A-0416643,lehae,E,52,central,Other,Other
A-0426871,niachöof,D,60,central,Retail & Consumer Goods,Household supplies
A-0429629,lehae,C,52,central,Pharmaceuticals,Pharmaceutical products
A-0430257,miakre,B,56,central,Other,Other
A-0433086,lunig,A,52,central,Food & Beverage,Beverages - Non alcoholic
A-0436843,maeistk,B,57,central,Retail & Consumer Goods,Entertainment & Leisure
A-0438186,mahkaos,D,59,central,Other,Other
A-0441600,alnbulca,D,60,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0443186,anéerkg,D,61,central,Other,Other
A-0465814,mahkaos,D,59,central,Apparel,Apparel - General
A-0466643,staleie,C,60,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0469900,staleie,D,60,central,Chemicals,Chemicals
A-0473900,paortre,A,54,west,Other,Other
A-0478643,anska,D,70,east,Other,Other
A-0479086,leaborsk,D,55,south,Retail & Consumer Goods,Supermarkets & Other stores
A-0482100,leaborsk,D,58,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0482600,eviboe,C,50,north,Retail & Consumer Goods,Cosmetics & Personal care
A-0050443,conhma,E,52,central,Other,Other
A-0053857,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0075571,lunig,A,52,central,Other,Other
A-0096957,lehae,A,52,central,Automotive,Automotive - Components & Spare parts
A-0098329,lehae,E,52,central,Other,Other
A-0124471,lehae,C,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0124600,maveitn,A,60,central,Other,Other
A-0126557,lehae,D,52,central,Technology,Electronic components
A-0138900,gegnbmb,C,52,central,Industrial & Engineering,Electrical Engineering
A-0156129,beasohe,A,52,central,Other,Other
A-0172257,beasohe,A,52,central,Other,Other
A-0188429,lunig,A,52,central,Other,Other
A-0240257,lehae,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0250114,lehae,A,59,central,Other,Others
A-0259529,beasohe,A,52,central,Other,Other
A-0286957,ladt,C,52,central,Other,Other
A-0309214,lehae,A,52,central,Other,Other
A-0034357,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0035714,maibanr,C,60,central,Technology,Electronic devices
A-0376829,lunig,C,52,central,Other,Other
A-0387129,lehae,A,52,central,Pharmaceuticals,Pharmaceutical products
A-0413157,mamange,B,56,central,Technology,Electronic devices
A-0414229,daeali,D,60,central,Industrial & Engineering,Agricultural Machinery
A-0414443,jonbuho,D,61,central,Apparel,Apparel - General
A-0420700,faarocte,D,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0422057,alarnk,D,69,central,Other,"Agriculture, textile raw materials & living animals"
A-0423114,jaleiho,D,66,central,Construction,Building Materials
A-0042514,lehae,A,52,central,Industrial & Engineering,Electrical Engineering
A-0426686,lunig,C,52,central,Other,Other
A-0428171,donmar,D,61,central,Resources (Processed),Metals
A-0428800,grorie,D,59,central,Apparel,Apparel - General
A-0437857,grorie,C,59,central,Resources (Processed),Glass & Porcelain
A-0440471,lunig,D,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0441671,jaleiho,B,66,central,Other,Freight Forwarding
A-0445886,lunig,E,52,central,Logistics,Freight Forwarding
A-0453986,keedein,D,50,north,Retail & Consumer Goods,Furniture & Furnishings
A-0460371,dioive,A,54,west,Healthcare,Medical Devices & Instruments
A-0465257,mihliel,E,69,central,Retail & Consumer Goods,Furniture & Furnishings
A-0478000,an-raäm,D,54,west,Retail & Consumer Goods,Furniture & Furnishings
A-0478700,jonungns,D,60,central,Other,Other
A-0108200,jonbuho,B,61,central,Retail & Consumer Goods,Other
A-0113100,beasohe,A,52,central,Other,Other
A-0115757,beasohe,A,52,central,Other,Other
A-0115929,beasohe,A,52,central,Other,Other
A-0120329,lehae,C,52,central,Healthcare,Medical Devices & Instruments
A-0126643,beasohe,A,52,central,Other,Other
A-0128400,beasohe,A,52,central,Other,Other
A-0142986,lunig,A,52,central,Other,Other
A-0147329,beasohe,A,52,central,Other,Other
A-0168743,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0188686,lunig,C,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0189129,beasohe,A,52,central,Other,Other
A-0019943,lehae,E,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0207586,heiwie,A,52,central,Retail & Consumer Goods,"Print, Books & Media"
A-0208714,paarie,B,57,central,Retail & Consumer Goods,Furniture & Furnishings
A-0255057,lehae,A,52,central,Apparel,Accessories
A-0027400,lehae,A,52,central,Other,Other
A-0306300,alnbulca,C,60,central,Technology,Telecommunications
A-0316171,grorie,D,59,central,Construction,Building Materials
A-0330529,beasohe,A,52,central,Other,Other
A-0333529,beasohe,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0333843,lunig,C,52,central,Other,Other
A-0334671,chsnfnk,D,60,central,Food & Beverage,Pet Food
A-0343043,beasohe,A,52,central,Other,Other
A-0035071,beasohe,A,52,central,Other,Other
A-0383271,reerlzk,B,56,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0411743,lunig,C,52,central,Industrial & Engineering,Electrical Engineering
A-0412200,lunig,C,52,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0422400,toeumrh,D,60,central,Resources (Processed),Plastics & Rubber
A-0425857,errma,D,60,central,Chemicals,Chemicals
A-0427100,daechete,B,57,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0429543,deiremiu,B,59,central,Pharmaceuticals,Pharmaceutical products
A-0436014,jaleiho,C,66,central,Resources (Processed),Wood - Processed
A-0444214,lunig,A,52,central,Other,Other
A-0444243,keedein,B,50,north,Logistics,Other Logistics
A-0446414,beasclz,D,60,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0446743,jonungns,D,60,central,Automotive,Automotive - Components & Spare parts
A-0450400,nisinia,D,50,north,Logistics,Other Logistics
A-0454000,thuranru,C,59,central,Other,Other
A-0454486,errma,D,60,central,Resources (Processed),Plastics & Rubber
A-0463871,lehae,D,52,central,Construction,Construction Equipment
A-0472514,feacoo,C,54,west,Resources (Processed),Metals
A-0474843,keedein,D,50,north,Industrial & Engineering,Industrial Machinery & Equipment
A-0478614,adaiał,D,70,east,Resources (Processed),Plastics & Rubber
A-0480457,lunig,C,52,central,Other,Other
A-0481214,nisinia,C,50,north,Industrial & Engineering,Electrical Engineering
A-0484371,peruon,D,59,central,Resources (Processed),Plastics & Rubber
A-0488071,ivalieo,D,55,south,Other,Other
A-0052514,anéerkg,D,61,central,Construction,Construction Equipment
A-0053586,beasohe,A,52,central,Other,Other
A-0054743,beasohe,A,52,central,Other,Other
A-0056757,lehae,A,52,central,Other,Other
A-0060943,lunig,E,52,central,Other,Other
A-0062457,tisch,E,52,central,Other,Other
A-0065300,lehae,E,52,central,Other,"Chemicals, Metal & Semi-finished goods"
A-0089086,chsgenle,A,50,north,Food & Beverage,Food - Perishables & Fresh
A-0109771,beasohe,A,52,central,Other,Other
A-0110343,mahkaos,D,59,central,Other,Other
A-0143986,lehae,A,52,central,Retail & Consumer Goods,DIY & Garden
A-0145043,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0148843,ladt,B,52,central,Automotive,Automotive - Components & Spare parts
A-0155229,lehae,A,52,central,Resources (Processed),Plastics & Rubber
A-0187529,beasohe,A,52,central,Other,Other
A-0189029,leube,D,52,central,Technology,Electronic devices
A-0234014,nind,B,56,central,Technology,Electronic devices
A-0270771,lehae,A,52,central,Other,Other
A-0301014,toeumrh,D,60,central,Chemicals,Chemicals
A-0030129,stfliean,E,48,central,Other,Other
A-0332943,grorie,D,59,central,Technology,Electronic devices
A-0354914,beasohe,A,52,central,Other,Other
A-0038986,beasohe,A,52,central,Other,Other
A-0039757,beasohe,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0040629,lehae,C,52,central,Industrial & Engineering,Electrical Engineering
A-0412229,lunig,E,52,central,Other,Other
A-0420771,jonbuho,D,61,central,Retail & Consumer Goods,Furniture & Furnishings
A-0422571,grorie,D,59,central,Construction,Building Materials
A-0425329,naageel,E,48,central,Other,Other
A-0432771,jaleiho,D,66,central,Construction,Building Materials
A-0447457,alaogzá,C,54,west,Retail & Consumer Goods,Household supplies
A-0451457,freanrs,D,60,central,Retail & Consumer Goods,Household supplies
A-0461471,nisinia,C,50,north,Retail & Consumer Goods,Supermarkets & Other stores
A-0462229,sesnbr,C,68,central,Resources (Raw),Other
A-0046257,lehae,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0465714,leaborsk,D,55,south,Logistics,Other Logistics
A-0467114,lunig,E,52,central,Logistics,Other Logistics
A-0473871,paortre,A,54,west,Other,Other
A-0482400,rormars,A,50,north,Other,Other
A-0483557,paortre,A,54,west,Other,Other
A-0049329,beasohe,A,52,central,Other,Other
A-0080557,tokig,E,48,central,Other,Other
A-0082557,lehae,E,52,central,Other,Other
A-0109200,beasohe,E,52,central,Logistics,Freight Forwarding
A-0121643,lunig,A,52,central,Other,Other
A-0126086,lehae,A,52,central,Other,Other
A-0136729,lunig,A,52,central,Other,Other
A-0189714,beasohe,A,52,central,Other,Other
A-0195386,beasohe,A,52,central,Other,Other
A-0199400,lunig,A,52,central,Other,Other
A-0202171,beasohe,A,52,central,Other,Other
A-0202343,lehae,A,52,central,Food & Beverage,Food - Packaged & Dry
A-0244186,beasohe,A,52,central,Other,Other
A-0247114,sesnbr,D,64,central,Resources (Processed),Wood - Processed
A-0249329,conmey,D,60,central,Chemicals,Chemicals
A-0026429,lunig,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0028329,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0028943,lehae,A,52,central,Other,Other
A-0029371,lunig,E,52,central,Apparel,Textiles
A-0311043,ladt,D,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0033671,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0351143,lehae,B,52,central,Resources (Processed),Cardboard & Packaging
A-0035300,peruon,C,59,central,Retail & Consumer Goods,Entertainment & Leisure
A-0395914,maeaßmh,D,52,central,Retail & Consumer Goods,Entertainment & Leisure
A-0428471,maeaßmh,D,52,central,Apparel,Accessories
A-0435500,lunig,A,52,central,Other,Other
A-0442371,tauida,E,48,central,Other,Other
A-0450343,lunig,C,52,central,Other,Other
A-0451114,lunig,C,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0455029,jonbuho,C,61,central,Manufacturer - Machinery & Electronics,Other
A-0466857,leaborsk,D,55,south,Logistics,Warehousing & Support
A-0472129,anbagba,A,55,south,Agriculture,Animal products - Raw
A-0481700,anbagba,C,55,south,Other,Other
A-0055529,peruon,D,59,central,Retail & Consumer Goods,Furniture & Furnishings
A-0056814,sesnbr,C,68,central,Resources (Processed),Paper
A-0066329,beasohe,A,52,central,Other,Other
A-0079029,lunig,A,52,central,Other,Other
A-0080886,thuranru,C,59,central,Other,Other
A-0088729,beasohe,A,52,central,Other,Other
A-0116229,lunig,A,52,central,Other,Other
A-0119271,lunig,A,52,central,Other,Other
A-0156600,beasohe,A,52,central,Other,Other
A-0017371,peruon,C,59,central,Other,Other
A-0181900,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0192971,beasohe,A,52,central,Other,Other
A-0195929,lunig,D,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0208586,lunig,A,52,central,Other,Other
A-0213871,jonbuho,C,61,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0227129,lunig,A,52,central,Other,Other
A-0231729,thuranru,D,59,central,Food & Beverage,Beverages - Alcoholic
A-0251257,faaonr,C,61,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0282000,lunig,C,52,central,Other,Other
A-0293600,lunig,D,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0296500,lunig,C,52,central,Other,"Chemicals, Metal & Semi-finished goods"
A-0029800,lehae,A,52,central,Other,Other
A-0303371,beasohe,A,52,central,Other,Other
A-0309743,lunig,C,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0324343,lunig,A,52,central,Other,Other
A-0372429,peruon,C,59,central,Other,Other
A-0038071,kaheku,D,56,central,Logistics,Freight Forwarding
A-0413057,jonungns,D,60,central,Other,Other
A-0413957,paarie,B,57,central,Pharmaceuticals,Pharmaceutical products
A-0418114,lunig,A,52,central,Other,Other
A-0422386,niachöof,D,60,central,Apparel,Apparel - General
A-0433314,lehae,C,52,central,Food & Beverage,Food - Perishables & Fresh
A-0435714,chsesg,D,59,central,Construction,Building Materials
A-0440029,conmey,C,60,central,Construction,Building Materials
A-0441157,faarocte,D,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0444914,nonvanr,C,60,central,Resources (Processed),Glass & Porcelain
A-0446257,mahkor,B,49,central,Apparel,Apparel - General
A-0455057,jonungns,D,60,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0460629,alsraźn,C,70,east,Chemicals,Chemicals
A-0468600,totbefrt,A,71,origin,Logistics,Freight Forwarding
A-0470657,alarnk,D,69,central,Resources (Raw),Wood - Raw
A-0471714,anska,C,70,east,Other,Other
A-0472714,lunig,C,52,central,Other,Other
A-0482286,calquad,D,54,west,Construction,Construction Services
A-0051486,lehae,E,52,central,Other,Other
A-0066800,lehae,E,52,central,Other,Other
A-0068214,leube,D,52,central,Other,Other
A-0110886,beasohe,A,52,central,Other,Other
A-0112157,mamlüg,A,52,central,Other,Other
A-0114429,beasohe,A,52,central,Retail & Consumer Goods,DIY & Garden
A-0116957,miakre,C,56,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0135643,beasohe,A,52,central,Other,Other
A-0135957,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0141771,lunig,C,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0014957,daeirt,D,59,central,Resources (Processed),Glass & Porcelain
A-0153214,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0157986,beasohe,A,52,central,Other,Other
A-0165671,ladt,A,52,central,Other,Other
A-0167829,tauida,E,48,central,Other,Other
A-0183300,beasohe,A,52,central,Other,Other
A-0185186,fecmos,D,52,central,Retail & Consumer Goods,"Print, Books & Media"
A-0186214,lunig,A,52,central,Other,Other
A-0232186,alnbulca,D,60,central,Resources (Processed),Metals
A-0024200,lunig,A,52,central,Other,Other
A-0260457,lunig,A,52,central,Other,Other
A-0292900,lunig,A,52,central,Other,Other
A-0317386,leube,D,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0379086,anbagba,C,55,south,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0411657,beasohe,A,52,central,Other,Other
A-0411686,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0420786,faarocte,E,52,central,Other,Other
A-0042100,beasohe,A,52,central,Other,Other
A-0422429,lunig,C,52,central,Healthcare,Medical Devices & Instruments
A-0424129,jaleiho,B,66,central,Construction,Building Materials
A-0427329,daeirt,D,59,central,Other,Other
A-0428629,faaonr,D,61,central,Retail & Consumer Goods,"Print, Books & Media"
A-0431057,lehae,C,52,central,Construction,Building Materials
A-0434400,juaöck,D,61,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0435386,lunig,E,52,central,Other,Other
A-0441986,miakre,B,56,central,Logistics,Freight Forwarding
A-0451743,tarwenr,C,48,central,Retail & Consumer Goods,Furniture & Furnishings
A-0452143,ladt,D,52,central,Apparel,Textiles
A-0454329,alaogzá,D,54,west,Retail & Consumer Goods,"Print, Books & Media"
A-0455014,errma,D,60,central,Retail & Consumer Goods,Furniture & Furnishings
A-0458214,maetor,A,69,central,Other,Other
A-0458557,prcavd,A,69,central,Logistics,Freight Forwarding
A-0458914,prcavd,D,69,central,Agriculture,Livestock Feed
A-0459529,prcavd,A,69,central,Logistics,Other Logistics
A-0048114,maeaßmh,A,52,central,Technology,Electronic components
A-0484914,ivalieo,A,55,south,Retail & Consumer Goods,Furniture & Furnishings
A-0055114,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0067757,lunig,A,52,central,Other,Other
A-0077729,maeistk,D,57,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0078514,lehae,A,52,central,Other,Other
A-0088686,lehae,A,52,central,Other,Other
A-0097171,chsnfnk,D,60,central,Other,Other
A-0100657,zuydin,D,59,central,Technology,Electronic devices
A-0103329,,E,52,central,Other,Other
A-0114286,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0147543,maibanr,C,60,central,Other,Machines
A-0015029,beasohe,A,52,central,Retail & Consumer Goods,Household supplies
A-0151543,lunig,A,52,central,Other,Other
A-0183814,lehae,D,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0018757,lehae,C,52,central,Construction,Building Materials
A-0198543,lunig,A,52,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0199243,maveitn,C,60,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0020786,grorie,D,59,central,Apparel,Accessories
A-0231500,nind,B,56,central,Retail & Consumer Goods,Household supplies
A-0244586,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0249971,beasohe,A,52,central,Other,Other
A-0312286,lehae,A,52,central,Other,Other
A-0318957,lunig,A,52,central,Other,Others
A-0325443,lunig,A,52,central,Other,Other
A-0035743,mamange,D,56,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0411086,alarnk,D,64,central,Automotive,Automotive - Components & Spare parts
A-0413200,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0425843,jaleiho,D,66,central,Construction,Building Materials
A-0460229,juypruyń,D,70,east,Retail & Consumer Goods,Household supplies
A-0460986,an-raäm,A,54,west,Other,Other
A-0469614,eviboe,A,50,north,Industrial & Engineering,Industrial Machinery & Equipment
A-0471757,inntall,D,54,west,Other,Other
A-0477043,inntall,E,54,west,Other,Other
A-0483514,maeeglom,B,55,south,Other,Other
A-0049600,beasohe,A,52,central,Other,Other
A-0053971,lunig,A,52,central,Other,Other
A-0061443,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0067871,beasohe,E,52,central,Other,Other
A-0068471,lehae,E,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0073714,beasohe,A,52,central,Resources (Processed),Plastics & Rubber
A-0086557,beasohe,A,52,central,Technology,Electronic components
A-0102329,lunig,A,52,central,Retail & Consumer Goods,DIY & Garden
A-0118743,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0124971,lunig,C,52,central,Manufacturer - Consumer Goods,Textiles
A-0166500,lunig,A,52,central,Other,Other
A-0177529,maeaßmh,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0180171,lunig,A,52,central,Other,Other
A-0197686,lunig,A,52,central,Construction,Construction Services
A-0203457,beasohe,A,52,central,Other,Other
A-0224357,lehae,C,52,central,Other,Other
A-0241757,miakre,D,56,central,Apparel,Apparel - General
A-0243371,lunig,A,52,central,Other,Other
A-0283643,lunig,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0324086,lunig,A,52,central,Other,Other
A-0324371,chsgenle,D,50,north,Apparel,Textiles
A-0368386,beasohe,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0037571,beasohe,A,52,central,Other,Other
A-0380957,leube,D,52,central,Resources (Processed),Metals
A-0038843,beasohe,A,52,central,Other,Other
A-0412871,juaöck,D,61,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0414186,lehae,A,52,central,Other,Other
A-0416486,yvshi,C,62,central,Retail & Consumer Goods,Furniture & Furnishings
A-0429771,toeumrh,D,60,central,Apparel,Apparel - Footware & shoes
A-0430457,lunig,D,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0432857,derall,C,60,central,Agriculture,Livestock Feed
A-0436100,sesnbr,A,68,central,Technology,Electronic devices
A-0438143,freanrs,C,60,central,Retail & Consumer Goods,Household supplies
A-0442986,jourann,D,52,central,Other,Other
A-0444029,faaonr,D,61,central,Industrial & Engineering,Industrial Machinery & Equipment
A-0445571,lunig,C,52,central,Other,Other
A-0448829,alsraźn,B,70,east,Retail & Consumer Goods,Household supplies
A-0451100,anska,C,70,east,Pharmaceuticals,Pharmaceutical products
A-0453457,alnbulca,D,60,central,Resources (Processed),Plastics & Rubber
A-0045386,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0453900,tije,C,52,central,Food & Beverage,Food - Perishables & Fresh
A-0459686,prcavd,E,69,central,Retail & Consumer Goods,Household supplies
A-0466029,mahkaos,D,59,central,Retail & Consumer Goods,Cosmetics & Personal care
A-0047071,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0471500,crtcall,C,55,south,Other,Other
A-0472700,dioive,D,54,west,Construction,Building Materials
A-0048329,lehae,A,52,central,Retail & Consumer Goods,Supermarkets & Other stores
A-0492871,alaogzá,A,54,west,Construction,Construction Equipment
A-0074286,beasohe,A,52,central,Other,Other
A-0081157,beasohe,A,52,central,Retail & Consumer Goods,Furniture & Furnishings
A-0089371,beasohe,A,52,central,Other,Other
A-0108643,beasohe,A,52,central,Retail & Consumer Goods,"Toys, Sports & Hobbies"
A-0110671,lunig,A,52,central,Other,Other
A-0121386,beasohe,A,52,central,Other,Other
A-0122257,beasohe,A,52,central,Automotive,Automotive - Dealerships & Service centres
A-0125114,beasohe,E,52,central,Other,Other
A-0143671,lunig,A,52,central,Other,Other
A-0145986,lunig,D,52,central,Industrial & Engineering,Railways & Shipbuilding
A-0151500,lunig,A,52,central,Other,Other
A-0168757,,A,52,central,Other,Other
A-0174186,beasohe,A,52,central,Other,Other
A-0187900,maeaßmh,A,59,central,Other,Other
